journal
"""Applied Algebraic Dynamics"", volume 49 of de Gruyter Expositions
  in Mathematics, 2009, 269-304"
"""New Approaches to Monetary Theory: Interdisciplinary
  Perspectives"", ed. by Heiner Ganssmann, ISBN 978-0-415-59525-4, Routledge
  (2011), pp 104-123, Ch. 7"
"""Publishing studies"" book series, edited by Giandomenico Sica,
  ISSN 1973-6061 (Printed edition), ISSN 1973-6053 (Electronic edition)"
"12th International Conference on Process Control and Simulation
  ASRTP'96, September 10.-13. 1996, Kosice, Slovak Republic, Volume I, pp.
  62-68, ISBN 80-7099-263-8"
"12th World Congress of Accounting Historians, Istanbul : Turkey
  (2008)"
16 (3) Berkeley Tech. LJ (forthcoming 2001)
"2002, Int. J. Math. and Math. Sci., V. 31: 7"
2006 Physiol. Meas. 27 N35-N39
"2008, ``Against the Tide. A Critical Review by Scientists of How
  Physics and Astronomy Get Done'', M. Lopez Corredoira, C. Castro Perelman,
  Eds., Universal Publishers, Boca Raton (Florida, USA), pp. 219-225"
"2017 IEEE International Instrumentation and Measurement Technology
  Conference (I2MTC), Turin, 2017. doi: 10.1109/I2MTC.2017.7969848"
"24th INTERNATIONAL CONGRESS ON SOUND AND VIBRATION, Jul 2017,
  London, United Kingdom"
"2nd International Conference On Integrated Design and
  Manufacturing in Mechanical Engineering (1998) 1-8"
"3rd VLDB Workshop on Technologies for E-Services (TES-02), Hong
  Kong, China, August 23-24, 2002"
"4e Conf\'erence sur les mod\`eles et l'analyse des r\'eseaux :
  Approches math\'ematiques et informatiques, MARAMI 2013"
"7th International Symposium on Advances in Robot Kinematics (2000)
  1-10"
"8th International Colloquium on Grammatical Inference (ICGI'06),
  Japan (2006)"
"A Ciencia Cierta 2(12), The Bimestral Publication of COPOCyT, San
  Luis Potosi, Mexico, August 2002"
"A Classical Mind, essays in honour of C. A. R. Hoare, 1994"
"A randomized algorithm for principal component analysis, SIAM
  Journal on Matrix Analysis and Applications, 31 (3): 1100-1124, 2009"
"A short version of this paper is published in Risk Magazine,
  August 2010"
"A. Meucci (2008) ""Fully Flexible Views: Theory and Practice"",
  Risk, 21 (10) p. 97-102"
"ACM Computing Surveys, 42(2):1--59, February 2010"
ACM SIGMOD Record 26(4): 63-68 (1997)
ACM SIGPLAN Notices V. 35(3) March 2000 pp. 39-48
"ACM SIGPLAN Notices, vol.42, no.12, pp. 7-14, Dec. 2007"
ACM Trans. Comput. Log. 5(4): 577-610 (2004)
"ACM Transactions on Computational Logic 3(3), 383-401 (2002)"
"ACM Transactions on Computational Logic, Vol. 8 (1:1), 2007, pp.
  1-64"
"ACM Transactions on Information and System Security 6:1, 2003, pp.
  43--70"
"AIP Conf.Proc.391:282-290,2004"
"AIP Conf.Proc.441:282-288,1998"
"AIPConf.Proc.435:11-36,1998"
"ARTIFICIAL NEURAL NETWORKS - ICANN 2010. Lecture Notes in Computer
  Science, 2010, Volume 6352/2010, 67-76"
ASME Design Engineering Technical Conference (04/09/2007) 1-9
"About the finding of independent vertices of a graph, Journal
  ""Kibernetika"", No. 1, 1989, p. 119 - 121"
"Acad. Ciencias Zaragoza, 55 (2000) 111-128"
"Acta Math. Univ. Comenianiae, 66, 2 (1997), 221--228"
"Acta Phys. Pol. A 117, 681-687 (2010)"
"Acta Phys. Pol. B 36, 1527-1535 (2005)"
Acta Physica Polonica B 36 (2005) 2549
Acta Physica Polonica B 36(6) (2005) 1963
"Acta Physica Polonica B 36, 1771 (2005)"
"Acta Physica Polonica B, vol.36, no. 8 (2005)"
"Acta Univ. Sapientiae, Informatica, 2,1 (2010) 80-89"
"Acta of Bioengineering and Biomechanics, Vol. 8, No. 2, 2006,
  43-49"
Actes de la conference MajecSTIC 2005 (16/11/2005) 151
"Adv. Appl. Clifford Algebras 8, 341-364 (1998)"
"Adv. Math. 136 (1998), 284-339"
"Adv. Polar Upper Atmos. Res., 14, 2000, pp 103--121"
"Adv. Polar Upper Atmos. Res., 14, 2000, pp157--162"
Adv. Quant. Chem. Vol 30 (1998) 311
"Adv.Theor.Math.Phys.2:1141-1182,1998; Addendum-ibid.8:697-709,2004"
"Adv.Theor.Math.Phys.2:719-731,1998"
"Advanced Materials Research 2012, Vol. 620, pp. 551-516"
"Advanced Photonics, 1(2), 025001 (2019)"
"Advances Math.139(1998),322-353"
"Advances in Engineering Software (Elsevier) Vol.36 No.7 (2005)
  448-458"
"Advances in Mathematics Volume 130, Issue 2, 25 September 1997,
  Pages 201-241"
"Advances in Neural Information Processing Systems 10, Michael I.
